onset	duration	response_time	trial_type
5.00679016113e-06	4.538891077039839	2.61523079872	self-consciousness
4.54058122635	4.5004889965	2.3468401432	seriousness
12.0439991951	4.493324995000002	2.20502495766	seriousness
18.0402030945	4.499654054600001	2.95322799683	dominance
24.043156147	4.4929568767999974	1.41007113457	embarrassment
28.5377860069	4.502626180699998	2.63927483559	objectivity
34.5426590443	4.491983175199998	2.87287592888	embarrassment
40.5375452042	4.503358840899999	1.99145102501	peacefulness
46.543462038	4.489950180099996	1.49443793297	affection
55.5362780094	4.4973781109000015	2.39098596573	attention
60.0353291035	4.497690916000003	1.7294178009	self-pity
64.5346910954	4.506639003699988	3.39554095268	attention
69.0430099964	4.487890005099999	2.03252387047	attention
76.5335841179	4.498010873799998	3.64546203613	self-pity
84.0345520973	4.495033979400006	1.56685400009	self-consciousness
93.0325140953	4.506402015700004	2.19610881805	contemplation
97.5405931473	4.499129056699999	2.53315591812	contemplation
105.042618036	4.496870995000009	3.77932095528	dominance
109.541119099	4.498600959000001	2.25838303566	affection
115.542619228	4.497209787999992	1.51063704491	embarrassment
123.042616129	4.497664928000006	1.7202501297	peacefulness
127.541979074	4.498343945000002	1.86133098602	dominance
133.543206215	4.495198011000014	3.06015205383	contemplation
139.541324139	4.497874975000002	2.1987361908	attention
145.541243076	4.498835087000003	2.77669000626	self-consciousness
150.041707993	4.497432231000005	2.39920711517	attention
154.540818214	4.496847867999975	1.77068591118	affection
159.039341211	4.515898942999996	1.85611891747	affection
165.058035135	4.481889962999986	2.31318187714	peacefulness
172.542288065	4.494955062999992	1.94808006287	self-consciousness
178.540070057	4.499683141999981	2.36304497719	affection
183.041402102	4.494288920999992	2.99033498764	contemplation
189.03767705	4.5014910689999965	1.85394597054	contemplation
195.042057037	4.492709160000004	3.31567883492	contemplation
201.037267208	4.5017828940000015	2.41998696327	embarrassment
208.541652203	4.490976809999978	1.71414804459	affection
213.034318209	4.499109983000011	3.37010502815	dominance
219.036319017	4.50221204799999	1.99554514885	contemplation
223.540109158	4.498847006999995	2.22795200348	attention
228.040628195	4.490172862999998	1.98935103416	objectivity
234.033682108	4.496838093000008	1.90332579613	self-consciousness
240.033336163	4.505929946000009	2.14772486687	contemplation
244.540939093	4.488215923000013	3.0799870491	objectivity
249.030817032	4.507623196000026	2.42479205132	contemplation
255.041317225	4.487159967000025	1.70541787148	dominance
259.530137062	4.5086951260000205	2.53742909431	self-consciousness
268.540705204	4.498325824999995	2.87813806534	contemplation
273.040728092	4.5017690660000085	2.1803650856	embarrassment
280.54541111	4.493961096000021	3.25478386879	peacefulness
285.041034222	4.495782851999991	1.77657604218	self-pity
289.538498163	4.503197908999994	2.30645394325	objectivity
294.043374062	4.494570969999984	2.37902998924	objectivity
300.039930105	4.499078988999997	1.69391298294	seriousness
309.041813135	4.495984077999992	2.38304185867	self-consciousness
313.539380074	4.498108147999972	1.76487803459	seriousness
318.037636995	4.516788006000013	1.86110496521	seriousness
324.057143211	4.4971499450000465	1.65574216843	dominance
328.555975199	4.49798989300001	1.94992208481	seriousness
334.556499004	4.4817900660000305	2.36284279823	dominance
340.541153193	4.495494841999971	3.48963809013	attention
345.038332224	4.5140478609999946	2.4550101757	self-pity
351.056216002	4.480815172000007	2.54914593697	objectivity
357.038659096	4.499649047999981	1.7482419014	peacefulness
367.542054176	4.493422984999995	1.89136815071	peacefulness
372.037157059	4.503193140000008	1.94750499725	seriousness
376.541918993	4.493062018999979	1.219217062	peacefulness
382.537952185	4.503794908000032	1.68462610245	self-consciousness
393.043796062	4.4907331470000145	2.35215187073	objectivity
399.036809206	4.497560978000024	1.78173804283	dominance
406.536241055	4.497099160999994	1.94948911667	peacefulness
412.536245108	4.496189116999972	1.58483099937	self-pity
420.035301208	4.496374845999981	2.16847991943	self-pity
427.534703016	4.508325100000036	2.28115391731	peacefulness
435.045957088	4.495599986000002	1.65832686424	self-pity
442.54451108	4.498124121999979	1.61956787109	embarrassment
450.045445204	4.496248960000003	1.80613279343	self-pity
457.544566154	4.497607947000006	2.70010089874	embarrassment
463.545033216	4.495656968000048	2.54735016823	attention
468.0423491	4.500138997999954	2.51905083656	attention
475.54531908	4.4968640810000124	2.02020096779	self-consciousness
481.545080185	4.497401953000008	1.78326892853	objectivity
486.044165134	4.498255968999956	2.95645189285	dominance
490.544086218	4.496870994000005	2.19962716103	objectivity
496.54384017	4.497642993999989	1.72309303284	self-consciousness
501.043811083	4.49679994600001	2.04722809792	peacefulness
505.542282104	4.498451949000014	2.29415512085	self-pity
511.542783022	4.496626139	1.09011507034	self-pity
517.542237997	4.496770143999925	2.08939790726	dominance
526.541884184	4.496696949000011	1.71938920021	embarrassment
532.541055202	4.4954349999999295	1.32461905479	embarrassment
541.53939414	4.502676963999988	1.92079401016	seriousness
546.043734074	4.491603135999981	2.41578388214	seriousness
550.536919117	4.49797511099996	1.93709492683	attention
556.537766218	4.497033835000025	2.6273188591	affection
564.036725044	4.497270107999952	2.36869311333	affection
571.536884069	4.496948957999962	2.00645303726	objectivity
577.535947084	4.497522116000027	1.90879487991	affection
582.035137177	4.497139930000003	1.85062909126	affection
588.035160065	4.497287034999999	1.67009091377	embarrassment
594.03451705	4.495715141000005	2.31228590012	seriousness
