filename	acq_time
anat/sub-079_T1w.nii.gz	2022-03-03T16:15:35
fmap/sub-079_acq-task_dir-AP_epi.nii.gz	2022-03-03T16:22:20
fmap/sub-079_acq-task_dir-PA_epi.nii.gz	2022-03-03T16:23:47
func/sub-079_task-mentalstates_run-01_bold.nii.gz	2022-03-03T16:31:25
func/sub-079_task-mentalstates_run-02_bold.nii.gz	2022-03-03T16:42:10
func/sub-079_task-mentalstates_run-03_bold.nii.gz	2022-03-03T16:54:37
func/sub-079_task-mentalstates_run-04_bold.nii.gz	2022-03-03T17:05:17
func/sub-079_task-mentalstates_run-05_bold.nii.gz	2022-03-03T17:16:10
func/sub-079_task-mentalstates_run-06_bold.nii.gz	2022-03-03T17:27:11
func/sub-079_task-mentalstates_run-07_bold.nii.gz	2022-03-03T17:39:13
func/sub-079_task-mentalstates_run-08_bold.nii.gz	2022-03-03T17:49:59
